A128,A129,A130,A154,A347,A360,A361,A362,PMI,EVI_t0,EVI_5yr_diff,EVI.D.yr1,EVI.D.yr2,EVI.D.yr3,EVI.D.yr4,EVI.D.yr5,EVI.D.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,wave,rain_5yr_diff,rain_yr1_diff,rain_yr2_diff,rain_yr3_diff,rain_yr4_diff,rain_yr5_diff,distance,weights
20087,2185,11598,0,1,6,846.727051,6.792312,1,4967.791016,1009.614746,828.856933,331.478516,-557.96875,444.421386999999,-37.1733399999994,68.1518560000004,860220,0.309999,4147,three,0.068047,4.861002,-8.506482,-0.0198739999999997,0.642903,3.090498,0.0430826217602224,1
20961,2874,11418,0,1,6,861.650024,16.924438,1,4727.164062,1198.840821,852.47754,-946.683594,763.521972,36.564942,492.959961,141.669433999999,851618,0.356498,3344,three,0.0130340000000002,4.804992,-8.499775,-0.019911,0.643891,3.083837,0.0507354848488111,1
21839,3663,11311,0,1,6,905.466614,5.547263,1,4872.147461,681.82959,524.446777,-322.709961,-102.748535,-119.740234000001,702.581543,199.512695,843015,0.480498,2623,three,-0.0449339999999996,4.743688,-8.490713,-0.0199940000000001,0.644604,3.077481,0.039844313837489,1
22721,4494,11280,0,1,6,1090.625,16.106705,1,4675.346191,910.621582000001,292.531739,-159.378417999999,-62.1352540000007,-306.90625,1146.509765,245.632812,825811,0.588997,2073,three,-0.105715999999999,4.67728,-8.479346,-0.0201230000000003,0.645046,3.071427,0.0313768439310906,1
23605,5328,11313,0,1,6,1250.181885,15.344798,1,4358.714844,422.595215,105.087402,326.839844,107.868164,-644.689453,527.489258000001,268.22754,834413,0.681997,1854,three,-0.235142000000001,4.529909,-8.449886,-0.0205120000000001,0.645123,3.060224,0.0291288948975025,1
15450,2388,12570,0,1,6,1000,-0.052507,1,4872.065918,720.004883,905.063964999999,73.4375,-23.4965819999998,-47.5410160000001,-187.458984,-662.63916,851618,0.371998,7869,three,0.268877,4.982613,-8.47288,-0.0120040000000001,0.629788,3.14136,0.0317524640533136,1
16283,1500,12120,0,1,6,891.084229,23.875475,1,4963.578613,293.456543,323.652832000001,402.674317,13.8222649999998,-18.0561520000001,-428.636719,-549.003906,817209,0.371998,7924,three,0.232204,4.963228,-8.484211,-0.011558,0.632802,3.131943,0.0324797479704738,1
17149,570,11701,0,1,6,709.561829,9.276287,1,4732.088379,706.587891,893.414062,192.297852000001,2.42773399999987,-292.438965,-89.1127919999999,-374.028809,787342,0.371998,7063,three,0.148251999999999,4.900684,-8.494256,-0.0109379999999999,0.637441,3.115321,0.0506611740555348,1
18021,212,11310,0,1,6,656.517456,4.668961,1,5051.674805,637.759765000001,461.364746,390.562011,-300.831054,-322.168946,408.833008000001,-258.505370999999,851454,0.371998,6221,three,0.100835,4.857896,-8.493417,-0.010758,0.639118,3.107996,0.0422620751252562,1
18898,870,10968,0,1,6,691.356201,5.362358,1,4871.36377,661.300781,589.717773,643.365234,374.824219,-952.117187,5.51074199999948,-127.370605,854376,0.371998,5408,three,0.050154,4.809406,-8.490127,-0.0106329999999999,0.640516,3.100992,0.0518029971168091,1
19780,1585,10696,0,1,6,705.046814,8.130016,1,5041.651367,804.790039,674.754395,488.925292999999,-365.371582,202.969726,-196.487793,-36.2260740000002,860220,0.356498,4637,three,-0.0036429999999994,4.755417,-8.484439,-0.010564,0.641638,3.094305,0.0494996181411724,1
20665,2414,10500,0,1,6,838.204529,5.375764,1,4494.864746,1795.501465,1612.505859,-124.062988,-252.119629000001,-83.1357419999995,642.313964999999,54.7475589999995,843015,0.340998,3934,three,-0.0604040000000001,4.696131,-8.476405,-0.0105490000000001,0.642486,3.087933,0.0683931109167953,1
21553,3250,10384,0,1,6,887.757324,5.469935,1,4510.032715,1572.872558,1204.746582,-587.653809,238.477051000001,-277.01123,994.313964,225.3208,800004,0.371998,3344,three,-0.11998,4.631751,-8.46608,-0.010586,0.643064,3.081871,0.0700723179905275,1
22446,4117,10350,0,1,6,1023.477966,11.975168,1,5071.952148,207.408692,373.470214999999,-1011.436523,217.038086,-74.5170900000003,702.854004000001,297.031739,817209,0.433998,2932,three,-0.18222,4.562479,-8.453514,-0.0106759999999997,0.643375,3.076116,0.0364581523819992,1
23341,5007,10386,0,1,6,1170.46167,16.536806,1,4862.998535,-116.023437,-331.929687,-167.395508,581.958495999999,-756.048339999999,557.391602,320.324707,834413,0.402998,2782,three,-0.314097,4.410066,-8.421877,-0.0110049999999999,0.643202,3.065517,0.0366279917190207,1
24238,5837,10505,0,1,6,1387.490845,9.795566,0,4923.813477,-62.6171879999993,-50.5590819999998,-461.735352,147.63623,-406.480468000001,708.521484000001,149.669922,825811,0.418498,2932,three,-0.383432999999999,4.32733,-8.40291,-0.0112420000000002,0.642723,3.060666,0.0221199023882307,0.567264573991031
15109,2584,11790,0,1,6,1000,0,1,4903.615234,260.221680000001,352.795411,-93.4907229999999,108.511719,86.1298820000002,-193.724609,-709.875488,843015,0.371998,7243,three,0.140816,4.805593,-8.446671,0.00806199999999979,0.627364,3.146468,0.0341767853643766,1
15957,1780,11309,0,1,6,893.59198,15.814285,1,4860.677734,136.708008000001,198.48877,137.138184,291.375,60.5986320000002,-550.892578,-642.757812,825811,0.371998,7978,three,0.0968270000000002,4.773865,-8.453364,0.00872599999999979,0.629933,3.137667,0.0398146358291004,1
16839,1082,10867,0,1,6,710.426514,11.446754,1,5257.083984,69.8808600000002,193.174317,16.515625,-51.0976559999999,210.615722,-299.327148,-546.163086,858272,0.371998,7477,three,0.00105000000000022,4.690912,-8.455592,0.00970300000000002,0.63379,3.122237,0.0374723187123315,1
17724,424,10465,0,1,6,601.382812,4.145042,1,5085.023926,520.46289,492.835937,447.186524000001,49.9497069999998,-380.378418,-89.1308600000002,-455.164063,759751,0.371998,6688,three,-0.0510929999999998,4.639694,-8.451446,0.0100319999999998,0.635117,3.11551,0.0478796080695357,1
18614,335,10095,0,1,6,617.599976,7.871855,1,4945.685547,497.257324,627.921875,445.394043,-517.139160000001,119.771972,-178.691406,-263.732910000001,839930,0.371998,5938,three,-0.106212999999999,4.583143,-8.444957,0.0102980000000001,0.636168,3.109135,0.0548133231246803,1
