A128,A129,A130,A154,A347,A361,A362,PMI,fl.5yr.postPML,fl.yr1,fl.yr2,fl.yr3,fl.yr4,fl.yr5,fl.pre.5cell,forest.pre,pop.den.5km.pre,dist.disturb.pre,id,distance,weights,x,y,long,lat
7267,150,3536,1,0,280.4235229,1.2285376,0,1948,0,974,0,0,974,26297.9993896,820777,0.678121770553567,21512,four21225,0.0628300671507498,0.719734660033168,847567,9678551,-77.874064127001,-2.90387872496844
3797,3300,2446,1,0,269.4170837,1.021354,0,0,0,0,0,0,0,22401.9995652,860220,0.09687453865051,9683,four21238,0.0629725463102345,0.719734660033168,859625,9678551,-77.7657385300305,-2.90357217365875
11559,2958,6215,1,0,995.0544434,18.2021351,0,0,0,0,0,0,0,974,834413,0.678121770553567,18479,four21338,0.0220926845851995,0.719734660033168,836438,9677623,-77.974044662007,-2.91253167570799
3442,5900,212,1,0,535.2504883,22.752634,0,0,0,0,0,0,0,2922,834413,0.581247231903058,13504,four21359,0.20897629562815,1.43946932006634,855915,9677623,-77.7990446163175,-2.91204541629445
3457,5420,579,1,0,464.0380859,16.6637421,0,0,0,0,0,0,0,2922,834413,0.532809962577803,12615,four21360,0.177226420078662,0.719734660033168,856842,9677623,-77.7907120202334,-2.91202158213075
5999,823,2793,1,0,282.1154785,1.6808074,0,0,0,0,0,0,0,24350.0002136,859246,0.774996309204077,22737,four21471,0.105448170163951,0.719734660033168,846640,9676696,-77.882351215652,-2.92065885084138
5212,842,4554,1,0,281.9658813,0.9665942,0,26298,8766,7792,974,6818,1948,15584,780852,0.678121770553567,20924,four21473,0.0706270130787267,0.719734660033168,848495,9676696,-77.8656846152264,-2.92061222115148
5587,268,1529,1,0,310.7279968,7.206151,0,7792,0,0,0,0,7792,24350.0002441,819476,0.678121770553567,24748,four21588,0.141659743455742,2.1592039800995,844785,9675768,-77.8989950449047,-2.92908385191772
5247,573,3206,1,0,277.8871155,0.79585,0,0,0,0,0,0,0,16557.9998779,850644,0.774996309204077,22944,four21590,0.123266791855816,1.43946932006634,846640,9675768,-77.8823280546192,-2.92903733658618
4454,551,2777,1,0,274.0667725,0.8370662,0,29220,0,0,0,19480,9740,19479.9997559,851618,0.678121770553567,24078,four21705,0.141728014976971,0.719734660033168,845713,9674841,-77.8906383507092,-2.93743917633151
4380,42,3609,1,0,270.0038147,0.0033614,0,4870,974,3896,0,0,0,21428.0008545,856324,0.678121770553567,23187,four21706,0.11128749450639,1.43946932006634,846640,9674841,-77.8823048269522,-2.93741582089177
3191,2190,3390,1,0,297.6139832,5.4291368,0,0,0,0,0,0,0,0,860220,0.726559039878822,20530,four21709,0.219795965969724,0.719734660033168,849422,9674841,-77.8573046562105,-2.93734538099234
3274,3918,3621,1,0,641.0890503,24.3120956,0,0,0,0,0,0,0,0,860220,0.581247231903058,18780,four21711,0.189410544411595,0.719734660033168,851277,9674841,-77.8406382112645,-2.9372981097674
3104,2698,2892,1,0,184.0016327,0.2528404,0,37012,9740,0,974,0,26298,14610.0003662,849670,0,6558,four21729,0.0680281915270939,0.719734660033168,867972,9674841,-77.6906525312422,-2.93686146571348
14683,6720,6122,1,1,994.8261108,9.8869352,0,0,0,0,0,0,0,0,817209,1.11405719448086,9989,four21795,0.0600268345006733,2.1592039800995,822525,9673913,-78.0989759014923,-2.94638297909359
3543,108,3179,1,0,279.999939,-0.0522117,0,14610,0,974,0,3896,9740,17531.9993286,834413,0.726559039878822,24345,four21820,0.133494243903616,0.719734660033168,845713,9673913,-77.8906151184257,-2.94581772592391
3450,313,3291,1,0,261.948822,1.9033669,0,0,0,0,0,0,0,17531.9993286,829543,0.678121770553567,23463,four21821,0.137722333157581,0.719734660033168,846640,9673913,-77.8822815326485,-2.94579430375405
2646,1422,2732,1,0,259.9259644,0.5910451,0,0,0,0,0,0,0,7792,850644,0.629684501228313,21711,four21823,0.193115895631361,1.43946932006634,848495,9673913,-77.8656145611889,-2.94574727208805
2248,3027,2466,1,0,467.3654785,19.7010593,0,0,0,0,0,0,0,974,860220,0.678121770553567,19978,four21825,0.277514461448599,0.719734660033168,850350,9673913,-77.8489478577051,-2.94569999067028
13947,7450,5055,1,1,905.465271,15.1916475,0,0,0,0,0,0,0,0,817209,1.30780627178188,11206,four21908,0.117736843371224,0.719734660033168,823453,9672986,-78.0906189021368,-2.95474121508798
13332,7260,4907,1,1,824.9474487,9.459096,0,0,0,0,0,0,0,0,851618,1.25936900245663,11621,four21909,0.144317050864624,1.43946932006634,824380,9672986,-78.0822837080078,-2.95471922981663
6484,7031,4810,1,1,981.7642212,28.9683285,0,0,0,0,0,0,0,0,851618,1.16249446380611,20842,four22030,0.47453060949732,0.719734660033168,836438,9672058,-77.9739091843518,-2.96280692262064
6278,6538,3923,1,1,951.5740356,22.307642,0,0,0,0,0,0,0,0,834413,1.16249446380611,21632,four22031,0.454565183185394,0.719734660033168,837365,9672058,-77.9655748173215,-2.96278399511077
1784,1101,1802,1,0,279.0854187,1.7203672,0,0,0,0,0,0,0,8765.9996643,860220,0.629684501228313,24973,four22040,0.276089008130843,2.1592039800995,845713,9672058,-77.890568454471,-2.96257482076521
174,6831,632,1,0,292.0192871,13.8981133,0,26298,0,1948,6818,17532,0,4870.0002136,850644,0,15211,four22052,0.363910276644842,2.1592039800995,856842,9672058,-77.7905683678135,-2.96228800900659
